id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
"frida-778","Cod, roe, raw","fisk","Cod, roe, raw fra Frida DTU database",120.36,23.24,1.5,2.58,,"{'A':27.75,'D':0,'E':10.25,'B1':0.765,'B2':0.655,'B3':1.15,'Folate':22,'C':19.27}","{'sodium':101,'potassium':272,'calcium':8,'magnesium':13,'iron':0.92,'zinc':4.46,'selenium':105,'phosphor':403}","frida_dtu","778",true
"frida-781","Liver, pig, raw","andre","Liver, pig, raw fra Frida DTU database",122.38,21.05,3,3.4,,"{'A':14125.94,'D':0.2,'E':0.2,'B1':0.3,'B2':2.95,'B3':16,'Folate':59,'C':25}","{'sodium':80,'potassium':271,'calcium':6,'magnesium':18,'iron':13.42,'zinc':6.78,'selenium':47.63,'phosphor':369}","frida_dtu","781",true
"frida-783","Crab claws, meat, raw","kød","Crab claws, meat, raw fra Frida DTU database",111.8,22.9,,1.8,,"{'A':650,'D':0,'E':2.4,'B1':0.05,'B2':0.395,'B3':1.7,'Folate':3,'C':0}","{'sodium':215,'potassium':152,'calcium':120,'magnesium':51,'iron':4,'zinc':11.9,'selenium':82,'phosphor':220}","frida_dtu","783",true
"frida-784","Crab claws, meat, canned","kød","Crab claws, meat, canned fra Frida DTU database",111.8,23,1,1.8,,"{'A':650,'D':0,'E':2.4,'B1':0.05,'B2':0.395,'B3':1.7,'Folate':3,'C':0}","{'sodium':1000,'potassium':110,'calcium':120,'magnesium':32,'iron':3.5,'zinc':11.9,'selenium':30.96,'phosphor':220}","frida_dtu","784",true
"frida-785","Turkey, flesh and skin, raw","kød","Turkey, flesh and skin, raw fra Frida DTU database",125.8,20,,5,,"{'A':2,'D':0,'E':0.5,'B1':0.064,'B2':0.155,'B3':4.09,'Folate':5,'C':0}","{'sodium':93,'potassium':230,'calcium':10,'magnesium':21,'iron':0.8,'zinc':1.35,'selenium':24,'phosphor':150}","frida_dtu","785",true
"frida-786","Bread, white, coarse grain","kornprodukter","Bread, white, coarse grain fra Frida DTU database",259.29,8.34,42.8,3.26,4.24,"{'A':0,'D':0,'E':0.5,'B1':0.167,'B2':0.121,'B3':1,'Folate':30.8,'C':0}","{'sodium':399,'potassium':172,'calcium':26,'magnesium':34,'iron':1.39,'zinc':0.84,'selenium':3.72,'phosphor':165}","frida_dtu","786",true
"frida-787","Marzipan","andre","Marzipan fra Frida DTU database",478.1,11,42,26.5,3,"{'A':13,'D':0,'E':12,'B1':0.11,'B2':0.35,'B3':1.6,'Folate':20,'C':0}","{'sodium':33,'potassium':270,'calcium':59,'magnesium':140,'iron':1.9,'zinc':1.5,'selenium':1,'phosphor':240}","frida_dtu","787",true
"frida-789","Pork, hand, lean, raw","kød","Pork, hand, lean, raw fra Frida DTU database",126.38,19.63,,5.3,,"{'A':0,'D':0.09,'E':0.1,'B1':0.62,'B2':0.23,'B3':3.7,'Folate':2.1,'C':0}","{'sodium':76,'potassium':360,'calcium':7,'magnesium':24,'iron':0.83,'zinc':3.6,'selenium':11,'phosphor':160}","frida_dtu","789",true
"frida-790","Wheat bread, white, with cracked chestnuts","nødder","Wheat bread, white, with cracked chestnuts fra Frida DTU database",258.43,7.96,45,4.1,4.73,"{'B1':0.238,'B2':0.125,'B3':1.62,'Folate':58}","{'sodium':392,'potassium':187,'calcium':60,'magnesium':33,'iron':1.58,'zinc':0.8,'selenium':3.7,'phosphor':195}","frida_dtu","790",true
"frida-791","Elderberry, juice, concentrated, sugar added","frugt","Elderberry, juice, concentrated, sugar added fra Frida DTU database",219.3,0.5,43,0.5,,"{'A':0,'D':0,'E':0,'B3':0.2,'C':8}","{'sodium':24,'calcium':19,'iron':0.4,'zinc':0.1,'selenium':0.2}","frida_dtu","791",true
