id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
frida-1126,"Morgenmadsprodukt  Havrefras",kornprodukter,"Morgenmadsprodukt  Havrefras fra Frida DTU database",377.26,13.2,56.4,6.64,,"{""A"":0.5,""D"":0,""E"":0.61,""B1"":0.22,""B2"":1.38,""B3"":10,""B6"":0.23,""Folate"":47,""C"":0}","{""sodium"":1225,""potassium"":484,""calcium"":49,""magnesium"":102,""iron"":6.43,""zinc"":3.44,""selenium"":0.01,""phosphor"":614}",frida_dtu,1126,true
frida-1128,"Pølse  cervelatpølse  pålæg",andre,"Pølse  cervelatpølse  pålæg fra Frida DTU database",276.75,11.14,3.8,23.74,,"{""A"":0,""D"":0.47,""B1"":0.74,""B2"":0.148,""B3"":2.7,""B6"":0.11,""Folate"":4.8,""C"":0}","{""sodium"":1152,""potassium"":174,""calcium"":22,""magnesium"":16,""iron"":0.76,""zinc"":1,""selenium"":7.3,""phosphor"":228}",frida_dtu,1128,true
frida-1131,"Mintgele",andre,"Mintgele fra Frida DTU database",268.5,0.5,57,0.5,,"{}","{""sodium"":20}",frida_dtu,1131,true
frida-1132,"Sild  høstsild  fedsild  rå",fisk,"Sild  høstsild  fedsild  rå fra Frida DTU database",248,19.3,,19,,"{""A"":45,""D"":8.3,""E"":1.8,""B1"":5.2,""B2"":0.2,""B3"":4.5,""B6"":0.366,""Folate"":3,""C"":0.5}","{""sodium"":47,""potassium"":317,""calcium"":50,""magnesium"":26,""iron"":1.3,""zinc"":0.85,""selenium"":32.3,""phosphor"":320}",frida_dtu,1132,true
frida-1134,"Spædbørnsmad  modermælkserstatning  lavt jernindhold  drikkeklar",mejeriprodukter,"Spædbørnsmad  modermælkserstatning  lavt jernindhold  drikkeklar fra Frida DTU database",61,1.2,10.8,3.5,,"{""A"":70,""D"":1,""E"":0.8,""B1"":0.2,""B2"":0.1,""B3"":0.7,""B6"":0.05,""Folate"":6,""C"":6.7}","{""sodium"":15,""potassium"":59,""calcium"":41,""magnesium"":5,""iron"":0.4,""zinc"":0.5,""selenium"":1.3,""phosphor"":21}",frida_dtu,1134,true
frida-1135,"Vekao",andre,"Vekao fra Frida DTU database",561.06,3.26,52.4,33.9,,"{""A"":0.7,""D"":0,""E"":1.4,""B1"":0,""B2"":0,""B3"":1,""B6"":0,""Folate"":8.2,""C"":0}","{""sodium"":17,""potassium"":528,""calcium"":15,""magnesium"":92,""iron"":4.2,""zinc"":1.56,""selenium"":2.8,""phosphor"":132}",frida_dtu,1135,true
frida-1136,"Medisterpølse  røget",andre,"Medisterpølse  røget fra Frida DTU database",279.27,11.55,4.13,24.31,,"{""A"":8.7,""D"":0.28,""E"":0.59,""B1"":0.74,""B2"":0.148,""B3"":2.7,""B6"":0.11,""Folate"":1.5,""C"":32.4}","{""sodium"":1050,""potassium"":203,""calcium"":22,""magnesium"":16,""iron"":0.84,""zinc"":1.19,""selenium"":7.3,""phosphor"":224}",frida_dtu,1136,true
frida-1137,"Bacon i skiver  rå",fedtstoffer,"Bacon i skiver  rå fra Frida DTU database",262.52,15.9,,21.85,,"{""A"":3.5,""D"":0.27,""E"":0.44,""B1"":0.68,""B2"":0.142,""B3"":5.4,""B6"":0.24,""Folate"":1.3,""C"":8.3}","{""sodium"":1225,""potassium"":283,""calcium"":6,""magnesium"":18,""iron"":0.52,""zinc"":1.68,""selenium"":8.3,""phosphor"":167}",frida_dtu,1137,true
frida-1138,"Sandwich med skinke og ost  toasted  fastfood (Parisertoast)",mejeriprodukter,"Sandwich med skinke og ost  toasted  fastfood (Parisertoast) fra Frida DTU database",297.75,11,32.78,13.25,,"{""A"":44.5,""D"":0.7,""E"":1,""B1"":0.39,""B2"":0.113,""B3"":0.64,""B6"":0,""Folate"":23.1,""C"":1.7}","{""sodium"":740,""potassium"":143,""calcium"":136,""magnesium"":22,""iron"":0.72,""zinc"":1.4,""selenium"":5.8,""phosphor"":221}",frida_dtu,1138,true
frida-1142,"Lucerne  alfalfa  frø",andre,"Lucerne  alfalfa  frø fra Frida DTU database",405.2,35.1,33.9,12.6,,"{""B1"":1.08,""B2"":0.58,""B3"":1.8,""C"":26}","{""sodium"":79,""calcium"":136,""iron"":12.9,""zinc"":6.9,""selenium"":90}",frida_dtu,1142,true
frida-1143,"Wienerpølse",andre,"Wienerpølse fra Frida DTU database",187.6,,4.33,20.8,,"{""A"":0,""D"":0.46,""E"":0.1,""B1"":1.1,""B2"":0.2,""B3"":1.8,""B6"":0.15,""Folate"":2,""C"":24}","{""potassium"":156,""calcium"":25,""magnesium"":21,""iron"":1.3,""zinc"":1.4,""selenium"":7.2,""phosphor"":223}",frida_dtu,1143,true
frida-1147,"Dressing  mayonnaise",andre,"Dressing  mayonnaise fra Frida DTU database",347.7,1.17,12.5,32.5,,"{""A"":3.5,""D"":0,""E"":2.62,""B1"":0.14,""B2"":0.053,""B3"":0.19,""B6"":0,""Folate"":0,""C"":0}","{""sodium"":668,""potassium"":91,""calcium"":20,""magnesium"":7,""iron"":0.32,""zinc"":0.21,""selenium"":0.19,""phosphor"":19}",frida_dtu,1147,true
frida-1148,"Rugsigtemel (udmalingsgrad ca. 70 %)",kornprodukter,"Rugsigtemel (udmalingsgrad ca. 70 %) fra Frida DTU database",341.56,6.1,73.5,1.4,,"{""E"":0.29,""B1"":0.234,""B2"":0.049,""B3"":1.3}","{""sodium"":2,""potassium"":204,""calcium"":18,""magnesium"":26,""iron"":1.08,""zinc"":0.89,""phosphor"":119}",frida_dtu,1148,true
frida-1149,"Oksekød  entrecote med kappe  rå",kød,"Oksekød  entrecote med kappe  rå fra Frida DTU database",,,,,,"{}","{}",frida_dtu,1149,true
frida-1150,"Kippers i olie  konserves",fedtstoffer,"Kippers i olie  konserves fra Frida DTU database",249,20.5,,18.5,,"{""A"":15,""D"":6,""E"":1,""B1"":10,""B2"":0.2,""B3"":3.83,""B6"":0.35,""Folate"":0,""C"":0}","{""sodium"":500,""potassium"":360,""calcium"":50,""magnesium"":35,""iron"":0.8,""zinc"":0.7,""phosphor"":325}",frida_dtu,1150,true
frida-1152,"Spegesild",fisk,"Spegesild fra Frida DTU database",263.9,13.1,,23.5,,"{""A"":48,""D"":11,""E"":2.3,""B1"":6,""B2"":0.22,""B3"":3,""B6"":0.22,""Folate"":6,""C"":0}","{""sodium"":5,""potassium"":128,""calcium"":60,""magnesium"":27,""iron"":1.1,""zinc"":1,""selenium"":22,""phosphor"":180}",frida_dtu,1152,true
